Area,Property Type,Price,Date,Price per sqm,Rooms,Parking,Building,Community,Nearest Metro,Projected Growth,Investment Score
Al Khabeesi,Building,22000000.0,14-05-2020,20354.73,,0,,,Abu Baker Al Siddique Metro Station,6.1,42.1
Jumeirah First,Villa,1850000.0,24-05-2021,5531.47,,0,,,Emirates Towers Metro Station,9.7,49.5
Al Mezhar First,Land,3700000.0,21-06-2021,2655.09,,0,,,Etisalat Metro Station,11.8,60.9
Al Waheda,Villa,1950000.0,10/5/2022,5830.47,,0,,,Abu Hail Metro Station,10.2,52.0
Um Suqaim Second,Villa,9200000.0,27-01-2023,6601.84,,0,,,First Abu Dhabi Bank Metro Station,13.1,70.3
Um Al Sheif,Land,7275000.0,26-11-2020,5220.48,,0,,,First Abu Dhabi Bank Metro Station,5.4,30.8
Al Thanyah Fifth,Villa,10900000.0,7/11/2022,11043.23,,0,,Jumeirah Islands,Jumeirah Lakes Towers,5.6,33.7
Nad Al Shiba,Land,6120240.0,9/10/2005,1507.27,,0,,Silicon Oasis,,8.7,46.7
Al Thanayah Fourth,Villa,4750000.0,11/11/2021,8762.38,,0,,Meadows 1,Damac Properties,13.1,68.0
Al Thanayah Fourth,Villa,4600000.0,13-09-2021,8859.27,,0,,Meadows 6,Damac Properties,13.0,67.4
Al Thanayah Fourth,Villa,4950000.0,4/2/2021,8246.56,,0,,Meadows 7,Nakheel Metro Station,6.9,37.1
Mirdif,Building,5925230.0,22-08-2021,7925.77,,0,,,Etisalat Metro Station,8.9,47.6
Um Al Sheif,Building,13000000.0,10/11/2022,8455.06,,0,,,First Abu Dhabi Bank Metro Station,5.5,34.3
Al Thanyah Third,Villa,3250000.0,6/8/2020,7577.7,,0,,Lakes - Deema 1,Nakheel Metro Station,14.5,74.2
Al Barsha South Fifth,Villa,1900000.0,4/10/2020,3138.32,,0,,Jumeirah Village Triangle,Damac Properties,9.4,48.0
Al Barsha South Fifth,Villa,1500000.0,11/8/2020,2396.63,,0,,Jumeirah Village Triangle,Damac Properties,9.3,47.3
Al Barsha South Fifth,Villa,2200000.0,1/2/2021,3178.46,,0,,Jumeirah Village Triangle,Damac Properties,8.4,43.2
Al Hebiah Fourth,Villa,3650000.0,4/8/2020,5735.03,,0,,Dubai Sports City,Nakheel Metro Station,12.7,65.4
Al Thanayah Fourth,Villa,7000000.0,28-07-2022,7512.18,,0,,Meadows 1,Damac Properties,12.0,63.7
Al Thanyah Fifth,Villa,4000000.0,27-10-2020,5265.17,,0,,Jumeirah Park,Harbour Tower,14.7,75.6
Al Thanyah Fifth,Villa,3135000.0,15-02-2021,6029.77,,0,,Jumeirah Park,Harbour Tower,14.2,72.6
Al Thanyah Fifth,Villa,4379486.0,28-02-2023,6996.54,,0,,Jumeirah Park,Jumeirah Lakes Towers,12.6,65.3
